Player,Salary,Team
A.J. Hammons," $650,000.00 ",DAL
Aaron Brooks," $2,700,000.00 ",IND
Aaron Gordon," $4,351,320.00 ",ORL
Aaron Gray," $452,059.00 ",DET
Aaron Harrison," $375,579.00 ",CHA
Adreian Payne," $2,022,240.00 ",MIN
Al Horford," $26,540,100.00 ",BOS
Al Jefferson," $10,230,179.00 ",IND
Alan Anderson," $1,315,448.00 ",LAC
Alan Williams," $874,636.00 ",PHO
Alec Burks," $10,154,495.00 ",UTA
Alex Abrines," $5,994,764.00 ",OKC
Alex Caruso," $50,000.00 ",OKC
Alex Len," $4,823,621.00 ",PHO
Alex Poythress," $38,903.00 ",PHI
Alex Poythress," $35,381.00 ",IND
Alexis Ajinca," $4,600,000.00 ",NOH
Al-Farouq Aminu," $7,680,965.00 ",POR
Allen Crabbe," $18,500,000.00 ",POR
Alonzo Gee," $1,400,000.00 ",NOH
Alonzo Gee," $495,227.00 ",DEN
Amir Johnson," $12,000,000.00 ",BOS
Anderson Varejao," $1,984,005.00 ",POR
Anderson Varejao," $1,551,659.00 ",GSW
Andre Drummond," $22,116,750.00 ",DET
Andre Iguodala," $11,131,368.00 ",GSW
Andre Roberson," $2,183,072.00 ",OKC
Andrea Bargnani," $323,599.00 ",NJN
Andrew Bogut," $11,027,027.00 ",PHI
Andrew Bogut," $242,224.00 ",CLE
Andrew Harrison," $945,000.00 ",MEM
Andrew Nicholson," $6,088,993.00 ",NJN
Andrew Wiggins," $6,006,600.00 ",MIN
Anthony Bennett," $1,015,696.00 ",NJN
Anthony Brown," $874,636.00 ",LAL
Anthony Brown," $108,043.00 ",NOH
Anthony Brown," $51,449.00 ",ORL
Anthony Davis," $22,116,750.00 ",NOH
Anthony Morrow," $3,488,000.00 ",CHI
Anthony Tolliver," $8,000,000.00 ",SAC
Archie Goodwin," $2,094,089.00 ",PHO
Archie Goodwin," $194,494.00 ",NJN
Archie Goodwin," $95,600.00 ",NOH
Arinze Onuaku," $440,078.00 ",ORL
Aron Baynes," $6,500,000.00 ",DET
Arron Afflalo," $12,500,000.00 ",SAC
Austin Rivers," $11,000,000.00 ",LAC
Avery Bradley," $8,269,663.00 ",BOS
Axel Toupane," $51,449.00 ",MIL
Axel Toupane," $20,580.00 ",NOH
Beau Beech," $45,000.00 ",NJN
Ben Bentil," $250,000.00 ",BOS
Ben Bentil," $50,000.00 ",IND
Ben Bentil," $31,969.00 ",DAL
Ben McLemore," $4,008,882.00 ",SAC
Ben Simmons," $5,903,160.00 ",PHI
Beno Udrih," $1,551,659.00 ",DET
Bismack Biyombo," $17,000,000.00 ",ORL
Blake Griffin," $20,140,838.00 ",LAC
Boban Marjanovic," $7,000,000.00 ",DET
Bobby Brown," $934,293.00 ",HOU
Bobby Portis," $1,453,680.00 ",CHI
Bojan Bogdanovic," $3,730,653.00 ",WAS
Boris Diaw," $7,000,000.00 ",UTA
Bradley Beal," $22,116,750.00 ",WAS
Brady Heslip," $56,500.00 ",TOR
Brandan Wright," $5,700,000.00 ",MEM
Brandon Bass," $1,551,659.00 ",LAC
Brandon Ingram," $5,281,680.00 ",LAL
Brandon Jennings," $4,837,318.00 ",NYK
Brandon Jennings," $1,200,000.00 ",WAS
Brandon Knight," $12,606,250.00 ",PHO
Brandon Paul," $155,000.00 ",PHI
Brandon Rush," $3,500,000.00 ",MIN
Brian Roberts," $1,050,961.00 ",CHA
Briante Weber," $328,000.00 ",MIA
Briante Weber," $231,521.00 ",CHA
Briante Weber," $102,898.00 ",GSW
Brice Johnson," $1,273,920.00 ",LAC
Brook Lopez," $21,165,675.00 ",NJN
Bruno Caboclo," $1,589,640.00 ",TOR
Bryn Forbes," $543,471.00 ",SAS
Buddy Hield," $3,517,200.00 ",SAC
C.J. McCollum," $3,219,579.00 ",POR
C.J. Miles," $4,583,450.00 ",IND
C.J. Watson," $5,000,000.00 ",ORL
C.J. Wilcox," $1,209,680.00 ",ORL
Cameron Jones," $50,000.00 ",GSW
Cameron Payne," $2,112,480.00 ",CHI
Caris LeVert," $1,562,280.00 ",NJN
Carl Landry," $6,500,000.00 ",PHI
Carlos Delfino," $650,000.00 ",LAC
Carmelo Anthony," $24,559,380.00 ",NYK
Caron Butler," $517,220.00 ",SAC
Cat Barber," $50,000.00 ",PHI
Chandler Parsons," $22,116,750.00 ",MEM
Channing Frye," $7,806,971.00 ",CLE
Chasson Randle," $297,311.00 ",PHI
Chasson Randle," $243,860.00 ",NYK
Cheick Diallo," $543,471.00 ",NOH
Chinanu Onuaku," $543,471.00 ",HOU
Chris Andersen," $1,551,659.00 ",CHA
Chris Bosh," $23,741,060.00 ",MIA
Chris McCullough," $1,191,480.00 ",WAS
Chris Paul," $22,868,827.00 ",LAC
Chris Wright," $100,000.00 ",OKC
