Player,Salary,Team
A.J. Hammons,650000.00,DAL
Aaron Brooks,2700000.00,IND
Aaron Gordon,4351320.00,ORL
Aaron Gray,452059.00,DET
Aaron Harrison,375579.00,CHA
Adreian Payne,2022240.00,MIN
Al Horford,26540100.00,BOS
Al Jefferson,10230179.00,IND
Alan Anderson,1315448.00,LAC
Alan Williams,874636.00,PHO
Alec Burks,10154495.00,UTA
Alex Abrines,5994764.00,OKC
Alex Caruso,50000.00,OKC
Alex Len,4823621.00,PHO
Alex Poythress,38903.00,PHI
Alex Poythress,35381.00,IND
Alexis Ajinca,4600000.00,NOH
Al-Farouq Aminu,7680965.00,POR
Allen Crabbe,18500000.00,POR
Alonzo Gee,1400000.00,NOH
Alonzo Gee,495227.00,DEN
Amir Johnson,12000000.00,BOS
Anderson Varejao,1984005.00,POR
Anderson Varejao,1551659.00,GSW
Andre Drummond,22116750.00,DET
Andre Iguodala,11131368.00,GSW
Andre Roberson,2183072.00,OKC
Andrea Bargnani,323599.00,NJN
Andrew Bogut,11027027.00,PHI
Andrew Bogut,242224.00,CLE
Andrew Harrison,945000.00,MEM
Andrew Nicholson,6088993.00,NJN
Andrew Wiggins,6006600.00,MIN
Anthony Bennett,1015696.00,NJN
Anthony Brown,874636.00,LAL
Anthony Brown,108043.00,NOH
Anthony Brown,51449.00,ORL
Anthony Davis,22116750.00,NOH
Anthony Morrow,3488000.00,CHI
Anthony Tolliver,8000000.00,SAC
Archie Goodwin,2094089.00,PHO
Archie Goodwin,194494.00,NJN
Archie Goodwin,95600.00,NOH
Arinze Onuaku,440078.00,ORL
Aron Baynes,6500000.00,DET
Arron Afflalo,12500000.00,SAC
Austin Rivers,11000000.00,LAC
Avery Bradley,8269663.00,BOS
Axel Toupane,51449.00,MIL
Axel Toupane,20580.00,NOH
Beau Beech,45000.00,NJN
Ben Bentil,250000.00,BOS
Ben Bentil,50000.00,IND
Ben Bentil,31969.00,DAL
Ben McLemore,4008882.00,SAC
Ben Simmons,5903160.00,PHI
Beno Udrih,1551659.00,DET
Bismack Biyombo,17000000.00,ORL
Blake Griffin,20140838.00,LAC
Boban Marjanovic,7000000.00,DET
Bobby Brown,934293.00,HOU
Bobby Portis,1453680.00,CHI
Bojan Bogdanovic,3730653.00,WAS
Boris Diaw,7000000.00,UTA
Bradley Beal,22116750.00,WAS
Brady Heslip,56500.00,TOR
Brandan Wright,5700000.00,MEM
Brandon Bass,1551659.00,LAC
Brandon Ingram,5281680.00,LAL
Brandon Jennings,4837318.00,NYK
Brandon Jennings,1200000.00,WAS
Brandon Knight,12606250.00,PHO
Brandon Paul,155000.00,PHI
Brandon Rush,3500000.00,MIN
Brian Roberts,1050961.00,CHA
Briante Weber,328000.00,MIA
Briante Weber,231521.00,CHA
Briante Weber,102898.00,GSW
Brice Johnson,1273920.00,LAC
Brook Lopez,21165675.00,NJN
Bruno Caboclo,1589640.00,TOR
Bryn Forbes,543471.00,SAS
Buddy Hield,3517200.00,SAC
C.J. McCollum,3219579.00,POR
C.J. Miles,4583450.00,IND
C.J. Watson,5000000.00,ORL
C.J. Wilcox,1209680.00,ORL
Cameron Jones,50000.00,GSW
Cameron Payne,2112480.00,CHI
Caris LeVert,1562280.00,NJN
Carl Landry,6500000.00,PHI
Carlos Delfino,650000.00,LAC
Carmelo Anthony,24559380.00,NYK
Caron Butler,517220.00,SAC
Cat Barber,50000.00,PHI
Chandler Parsons,22116750.00,MEM
Channing Frye,7806971.00,CLE
Chasson Randle,297311.00,PHI
Chasson Randle,243860.00,NYK
Cheick Diallo,543471.00,NOH
Chinanu Onuaku,543471.00,HOU
Chris Andersen,1551659.00,CHA
Chris Bosh,23741060.00,MIA
Chris McCullough,1191480.00,WAS
Chris Paul,22868827.00,LAC
Chris Wright,100000.00,OKC
Christian Wood,874636.00,CHA
Cliff Alexander,51449.00,NJN
Clint Capela,1296240.00,HOU
Cody Zeller,5318313.00,CHA
Cole Aldrich,7643979.00,MIN
Corey Brewer,7600000.00,LAL
Cory Joseph,7330000.00,TOR
Courtney Lee,11242000.00,NYK
Cristiano Felicio,874636.00,CHI
D.J. Augustin,7250000.00,ORL
D.J. Kennedy,50000.00,DEN
D.J. Stephens,35000.00,MEM
D\'Angelo Russell,5332800.00,LAL
Dahntay Jones,24022.00,CLE
Damian Jones,1171560.00,GSW
Damian Lillard,24328425.00,POR
Damion Lee,50000.00,BOS
Damjan Rudez,980431.00,ORL
Daniel Ochefu,543471.00,WAS
Danilo Gallinari,15050000.00,DEN
Danny Green,10000000.00,SAS
Dante Cunningham,2978250.00,NOH
Dante Exum,3940320.00,UTA
Danuel House,543471.00,WAS
Dario Saric,2318280.00,PHI
Darrell Arthur,8070175.00,DEN
Darren Collison,5229454.00,SAC
