Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,WS/48,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Alex Abrines,SG,23,OKC,68,6,1055,10.1,0.144,4.5,5.5,15.9,1.2,0.9,2.1,0.095,-0.1,341,0.393,0.381,0.531,86,40,37,8,406
Quincy Acy,PF,26,TOT,38,1,558,11.8,0.353,11,4.9,16.8,0.5,0.5,0.9,0.082,-0.1,170,0.412,0.411,0.521,115,18,14,15,222
Quincy Acy,PF,26,DAL,6,0,48,-1.4,0.176,9.7,0,20,-0.2,0,-0.1,-0.133,-0.2,17,0.294,0.143,0.324,8,0,0,0,13
Quincy Acy,PF,26,BRK,32,1,510,13.1,0.373,11.1,5.4,16.5,0.6,0.5,1.1,0.102,0,153,0.425,0.434,0.542,107,18,14,15,209
Steven Adams,C,23,OKC,80,80,2389,16.5,0.392,14.2,5.4,16.2,3.3,3.1,6.4,0.13,1.5,655,0.571,0,0.571,615,86,88,78,905
Arron Afflalo,SG,31,SAC,61,45,1580,9,0.221,4.6,7.4,14.4,1.2,0.2,1.4,0.043,-0.6,420,0.44,0.411,0.514,125,78,21,7,515
Alexis Ajinca,C,28,NOP,39,15,584,12.9,0.225,16,3.1,17.2,0,0.9,1,0.08,-0.3,178,0.5,0,0.5,177,12,20,22,207
Cole Aldrich,C,28,MIN,62,0,531,12.7,0.256,17.4,6.4,9.4,0.6,0.7,1.3,0.116,0.4,86,0.523,,0.523,158,25,25,23,105
LaMarcus Aldridge,PF,31,SAS,72,72,2335,18.6,0.258,12.7,9.9,24.5,3.5,3.7,7.3,0.149,1.8,1049,0.477,0.411,0.488,524,139,46,89,1243
Lavoy Allen,PF,27,IND,61,5,871,11.6,0.196,14.2,9.1,10.9,0.9,0.8,1.7,0.093,0.4,168,0.458,0,0.458,220,57,18,24,177
Tony Allen,SG,35,MEM,71,66,1914,13.3,0.218,11.7,8.4,17.9,0.2,2.9,3.1,0.077,1.3,595,0.461,0.278,0.473,391,98,115,29,643
Al-Farouq Aminu,SF,26,POR,61,25,1773,11.3,0.292,14.1,7.9,15.4,-0.1,2,1.9,0.051,0.4,466,0.393,0.33,0.468,451,99,60,44,532
Chris Andersen,C,38,CLE,12,0,114,11.6,0.636,15,5.9,13,0.1,0.2,0.2,0.102,0,22,0.409,0,0.409,31,5,5,7,28
Alan Anderson,SF,34,LAC,30,0,308,5,0.2,4.4,4.9,13.7,0,0.1,0.1,0.02,-0.2,80,0.375,0.318,0.463,24,11,3,0,86
Justin Anderson,SF,23,TOT,75,10,1228,13.9,0.294,11.3,8.8,20.9,0.6,1.3,1.9,0.074,0.1,439,0.424,0.299,0.49,245,66,41,23,532
Justin Anderson,SF,23,DAL,51,2,710,14.7,0.318,12.2,7.6,23.6,0.1,0.9,1,0.067,0,277,0.401,0.303,0.468,149,32,28,16,329
Justin Anderson,SF,23,PHI,24,8,518,12.8,0.253,10.2,10.4,17.2,0.5,0.4,0.9,0.084,0.1,162,0.463,0.292,0.528,96,34,13,7,203
Kyle Anderson,SG,23,SAS,72,14,1020,12.5,0.273,11.5,12.4,12.1,0.7,2,2.7,0.127,0.9,209,0.445,0.375,0.481,208,91,51,26,246
Ryan Anderson,PF,28,HOU,72,72,2116,13.5,0.194,8.5,4.7,17.9,4,1.1,5.2,0.118,0.6,773,0.418,0.403,0.55,330,68,32,14,979
Giannis Antetokounmpo,SF,22,MIL,80,80,2845,26.1,0.486,14.3,26.6,28.3,7.9,4.5,12.4,0.21,6.9,1259,0.521,0.272,0.541,700,434,131,151,1832
Carmelo Anthony,SF,32,NYK,74,74,2538,17.9,0.263,9.3,14.5,29.1,3.2,1.5,4.7,0.089,0.8,1389,0.433,0.359,0.488,436,213,60,34,1659
Joel Anthony,C,34,SAS,19,0,122,11.6,0.5,14.4,3.4,8.7,0.1,0.2,0.4,0.141,0,16,0.625,,0.625,31,3,2,6,25
Trevor Ariza,SF,31,HOU,80,80,2773,12.3,0.158,9,8.8,14.1,2.8,3.2,6,0.104,2.6,798,0.409,0.344,0.528,459,175,147,20,936
Darrell Arthur,PF,28,DEN,41,7,639,12.8,0.102,9.7,9.3,17.3,0.6,0.4,1.1,0.081,0.3,215,0.442,0.453,0.565,112,42,19,21,262
Omer Asik,C,30,NOP,31,19,482,9.8,0.6,17.8,4.2,8.8,0.4,0.6,1,0.1,-0.1,65,0.477,,0.477,163,15,5,10,85
D.J. Augustin,PG,29,ORL,78,20,1538,11,0.311,4.1,20.4,19.4,0.7,0.5,1.2,0.038,-0.9,517,0.377,0.347,0.469,117,209,31,1,616
Luke Babbitt,SF,27,MIA,68,55,1065,8.4,0.053,7.4,4.8,13,0.8,1,1.8,0.082,0.1,281,0.402,0.414,0.557,142,36,21,11,324
Ron Baker,SG,23,NYK,52,13,857,7.5,0.198,6.2,17.3,14.8,-0.6,0.5,-0.1,-0.008,-0.5,217,0.378,0.267,0.431,98,107,34,8,215
Wade Baldwin,PG,20,MEM,33,1,405,6.4,0.322,6.5,22.8,19.2,-0.9,0.5,-0.4,-0.045,-0.4,115,0.313,0.136,0.326,46,61,18,7,106
Leandro Barbosa,SG,34,PHO,67,0,963,11.5,0.115,5.9,13,20,0.3,0.4,0.6,0.031,-0.5,392,0.439,0.357,0.483,104,81,31,8,419
J.J. Barea,PG,32,DAL,35,6,771,17.2,0.149,6.3,44.2,26.2,0.8,0.5,1.3,0.08,0.3,343,0.414,0.358,0.491,84,193,14,1,381
Harrison Barnes,PF,24,DAL,79,79,2803,16.3,0.22,8.2,7.8,25.3,2.5,2.1,4.6,0.079,0.1,1280,0.468,0.351,0.498,397,117,66,15,1518
Matt Barnes,SF,36,TOT,74,18,1777,10.3,0.188,12.4,15.6,15.6,0.3,1.7,2,0.053,0.6,473,0.391,0.331,0.483,387,194,48,26,527
Matt Barnes,SF,36,SAC,54,13,1367,10.2,0.172,12.5,16.2,16.4,-0.1,1.1,1,0.034,0.4,383,0.384,0.327,0.474,296,149,36,17,413
Matt Barnes,SF,36,GSW,20,5,410,10.7,0.256,12.2,13.7,13.1,0.3,0.6,1,0.115,0.3,90,0.422,0.346,0.522,91,45,12,9,114
Will Barton,SG,26,DEN,60,19,1705,15.5,0.285,8.4,17.7,21.1,2.5,0.8,3.3,0.093,1,666,0.443,0.37,0.508,258,206,48,28,820
Brandon Bass,PF,31,LAC,52,0,577,19.7,0.473,12.5,5.7,19.7,1.6,0.6,2.2,0.186,0.2,186,0.575,0.333,0.578,129,21,14,11,292
Nicolas Batum,SG,28,CHO,77,77,2617,15.8,0.291,10.1,27.6,22.3,1.7,2.8,4.5,0.083,2.1,975,0.403,0.333,0.472,481,455,86,29,1164
Jerryd Bayless,PG,28,PHI,3,1,71,8.7,0.313,9.3,29.4,27.7,-0.1,0,-0.1,-0.067,-0.1,32,0.344,0.4,0.375,12,13,0,0,33
Aron Baynes,C,30,DET,75,2,1163,13.1,0.337,15.6,3.9,14.1,1.4,1.5,3,0.123,0.1,279,0.513,,0.513,333,32,17,39,365
Kent Bazemore,SF,27,ATL,73,64,1963,11.5,0.233,6.5,14.2,20.5,-0.6,2.8,2.1,0.053,0.6,721,0.409,0.346,0.473,231,177,91,52,801
Bradley Beal,SG,23,WAS,77,77,2684,20.1,0.259,5,16.2,26.5,6.8,1.6,8.5,0.151,2.8,1322,0.482,0.404,0.566,239,267,83,21,1779
Malik Beasley,SG,20,DEN,22,1,165,13.7,0.137,5.7,10.2,22,0.1,0.1,0.2,0.057,-0.1,73,0.452,0.321,0.514,17,11,7,0,83
Michael Beasley,PF,28,MIL,56,6,935,17.8,0.259,12,9.9,25.3,0.8,1,1.8,0.093,-0.2,406,0.532,0.419,0.554,193,53,28,27,528
Marco Belinelli,SG,30,CHO,74,0,1778,13.3,0.273,5.5,13.1,19.2,2,1.2,3.2,0.088,0.1,615,0.429,0.36,0.512,178,147,44,9,780
DeAndre' Bembry,SF,22,ATL,38,1,371,8.8,0.163,8.7,11.5,14.2,-0.1,0.4,0.3,0.038,-0.2,98,0.48,0.056,0.485,59,28,8,5,101
Dragan Bender,PF,19,PHO,43,0,574,5.3,0.068,9.7,5.5,14.4,-0.7,0.3,-0.3,-0.029,-0.3,161,0.354,0.277,0.441,103,23,10,22,146
Anthony Bennett,PF,23,BRK,23,1,264,14.7,0.391,15.6,7.1,19.4,0.3,0.2,0.5,0.09,-0.1,92,0.413,0.271,0.484,78,12,5,3,115
Ben Bentil,PF,21,DAL,3,0,10,-17.6,0,11.6,0,18.9,-0.1,0,-0.1,-0.473,-0.1,3,0,0,0,2,0,0,0,0
Davis Bertans,PF,24,SAS,67,6,808,12.9,0.145,6.9,8.3,15.7,1.1,1.2,2.3,0.135,0.8,234,0.44,0.399,0.588,99,46,20,28,303
Patrick Beverley,SG,28,HOU,67,67,2058,13,0.175,10.4,18.8,14.1,2.9,2.4,5.3,0.124,2.2,543,0.42,0.382,0.521,394,281,99,25,639
Bismack Biyombo,C,24,ORL,81,27,1793,12.2,0.69,17.2,6,13.2,0.8,2.1,2.9,0.077,-0.1,339,0.528,,0.528,567,74,25,91,483
Nemanja Bjelica,PF,28,MIN,65,1,1190,11,0.171,12,9.6,16.4,0.6,0.9,1.5,0.059,0.3,356,0.424,0.316,0.503,244,79,40,20,403
Tarik Black,C,25,LAL,67,16,1091,15,0.371,17.1,5.3,15.7,1.5,0.9,2.4,0.105,0.1,294,0.51,0.5,0.512,342,39,30,44,383
Eric Bledsoe,PG,27,PHO,66,66,2176,20.6,0.443,8,31.1,28.1,4,1.4,5.4,0.119,2.9,1034,0.434,0.335,0.485,320,418,92,31,1390
Bojan Bogdanovic,SF,27,TOT,81,54,2083,13.5,0.288,7.2,8.7,22.4,2,0.9,2.9,0.067,-0.4,845,0.445,0.367,0.53,277,111,34,7,1113
Bojan Bogdanovic,SF,27,BRK,55,54,1482,13.1,0.273,7,10.1,22.4,1.1,0.6,1.6,0.053,-0.4,611,0.44,0.357,0.521,197,90,24,3,783
Bojan Bogdanovic,SF,27,WAS,26,0,601,14.7,0.325,7.5,5.2,22.2,0.9,0.3,1.3,0.102,-0.1,234,0.457,0.391,0.553,80,21,10,4,330
Andrew Bogut,C,32,TOT,27,21,583,9.3,0.136,21.7,12.3,10.4,-0.3,1,0.7,0.055,0.3,81,0.469,0,0.469,218,49,13,25,79
Andrew Bogut,C,32,DAL,26,21,582,9.4,0.136,21.7,12.3,10.4,-0.3,1,0.7,0.055,0.3,81,0.469,0,0.469,218,49,13,25,79
Andrew Bogut,C,32,CLE,1,0,1,-35.3,,0,0,0,0,0,0,0.02,0,0,,,,0,0,0,0,0
Joel Bolomboy,PF,23,UTA,12,0,53,19.7,0.375,18.5,6.3,18.2,0.1,0.1,0.2,0.171,0,16,0.563,0.25,0.594,17,2,1,2,22
Devin Booker,SG,20,PHO,78,78,2730,14.6,0.308,5,16.3,28.6,1.4,0.6,2,0.035,-0.2,1431,0.423,0.363,0.475,249,268,72,21,1726
Trevor Booker,PF,29,BRK,71,43,1754,15.7,0.186,17.2,12.9,18.7,0.9,2.2,3.1,0.086,1,591,0.516,0.321,0.537,570,138,76,28,709
Avery Bradley,SG,26,BOS,55,55,1835,14.4,0.12,10.1,10.9,21.9,1.1,2,3.1,0.08,0.7,775,0.463,0.39,0.533,334,121,68,11,894
Corey Brewer,SF,30,TOT,82,11,1281,9.1,0.195,7.1,10.7,14.3,0,1.2,1.2,0.045,-0.2,348,0.422,0.229,0.461,166,97,61,19,371
Corey Brewer,SF,30,HOU,58,8,923,7.5,0.194,6.7,9,12.9,0,0.8,0.9,0.044,-0.3,227,0.414,0.234,0.463,114,61,37,11,242
Corey Brewer,SF,30,LAL,24,3,358,13.3,0.198,7.9,15,18,0,0.3,0.3,0.047,0,121,0.438,0.208,0.459,52,36,24,8,129
Malcolm Brogdon,SG,24,MIL,75,28,1982,14.9,0.198,6.3,24.3,18.5,2.6,1.5,4.1,0.1,0.8,635,0.457,0.404,0.518,213,317,84,12,767
Aaron Brooks,PG,32,IND,65,0,894,9.5,0.133,4.3,20.7,19.2,-0.2,0.5,0.3,0.016,-0.6,300,0.403,0.375,0.483,69,125,25,9,322
Anthony Brown,SF,24,TOT,11,0,159,7.2,0,11,7.6,15.6,-0.2,0.2,0,0.002,-0.1,50,0.36,0.259,0.43,33,8,5,1,43
Anthony Brown,SF,24,NOP,9,0,143,5.9,0,9.6,5.9,14.2,-0.2,0.2,0,-0.007,-0.1,41,0.341,0.25,0.415,26,6,5,1,34
Anthony Brown,SF,24,ORL,2,0,16,18.5,0,23.8,23,27.5,0,0,0,0.076,0,9,0.444,0.333,0.5,7,2,0,0,9
Bobby Brown,PG,32,HOU,25,0,123,10.8,0.033,2.7,17.6,22.7,0.1,0,0.1,0.04,-0.2,60,0.383,0.4,0.5,6,14,1,0,62
Jaylen Brown,SF,20,BOS,78,20,1341,10.3,0.293,9.1,7.2,18.1,0.2,1.3,1.5,0.053,-0.7,423,0.454,0.341,0.508,220,64,35,18,515
Nicolas Brussino,SF,23,DAL,54,2,521,10.7,0.156,10.6,13.9,16,0,0.6,0.6,0.055,0.1,141,0.369,0.305,0.472,95,47,17,8,150
Reggie Bullock,SF,25,DET,31,5,467,11.7,0.055,7.5,8.8,13.4,0.4,0.5,1,0.101,0.2,128,0.422,0.384,0.531,64,29,18,3,141
Trey Burke,PG,24,WAS,57,0,703,10.8,0.114,3.8,20.7,19.6,0.3,0.3,0.5,0.036,-0.7,255,0.455,0.443,0.516,47,100,11,5,285
Alec Burks,SG,25,UTA,42,0,653,11.6,0.315,10.6,7.5,22.7,-0.1,0.9,0.8,0.056,-0.4,248,0.399,0.329,0.45,120,30,18,5,283
Jimmy Butler,SF,27,CHI,76,75,2809,25.1,0.54,9,24.8,26.5,10.1,3.8,13.8,0.236,6.3,1252,0.455,0.367,0.492,470,417,143,32,1816
Bruno Caboclo,SF,21,TOR,9,0,40,14.6,0,14.1,15.1,20.1,0,0.1,0.1,0.083,0,16,0.375,0.333,0.438,10,4,2,1,14
Jose Calderon,PG,35,TOT,41,13,539,8.9,0.09,7.5,23.3,14.4,0,0.3,0.3,0.023,-0.4,134,0.41,0.313,0.485,74,88,11,1,141
Jose Calderon,PG,35,LAL,24,11,292,9.1,0.052,7.9,24.7,15.3,-0.1,0.1,0,0,-0.2,77,0.416,0.353,0.494,42,51,7,1,80
Jose Calderon,PG,35,ATL,17,2,247,8.7,0.14,7.1,21.6,13.3,0.1,0.2,0.3,0.051,-0.1,57,0.404,0.267,0.474,32,37,4,0,61
Kentavious Caldwell-Pope,SG,23,DET,76,75,2529,12.8,0.199,5.3,11.2,19.2,2,2.5,4.5,0.086,1.9,928,0.399,0.35,0.481,248,193,89,12,1047
Isaiah Canaan,SG,25,CHI,39,0,592,8.1,0.191,4.5,9,15.3,0,0.5,0.5,0.044,-0.2,173,0.364,0.266,0.436,49,37,22,1,181
Clint Capela,C,22,HOU,65,59,1551,21.4,0.314,18.5,6.9,19.9,3.9,2.1,6,0.185,1.2,563,0.643,,0.643,526,64,34,80,818
DeMarre Carroll,SF,30,TOR,72,72,1882,11.9,0.213,8.3,5.7,15.5,1.7,2.1,3.8,0.097,1.4,549,0.401,0.341,0.5,275,74,81,27,638
Vince Carter,SF,40,MEM,73,15,1799,11.7,0.235,7.2,11.5,14.9,1.9,2.1,4,0.106,1.4,490,0.394,0.378,0.508,227,133,60,36,586
Michael Carter-Williams,PG,25,CHI,45,19,846,9.9,0.252,9.7,20,20.9,-1,1.3,0.2,0.013,-0.1,306,0.366,0.234,0.391,152,113,38,23,297
Omri Casspi,SF,28,TOT,36,2,643,9.9,0.176,10.1,8.6,14.5,0.1,0.4,0.5,0.037,-0.2,165,0.467,0.349,0.512,112,37,23,3,186
Omri Casspi,SF,28,SAC,22,2,397,11.4,0.179,13.1,10.1,16.3,0.1,0.3,0.4,0.043,-0.1,117,0.453,0.379,0.5,90,26,10,1,129
Omri Casspi,SF,28,NOP,1,0,24,10,0,4.4,0,20.3,0,0,0,0.015,0,9,0.556,0.5,0.667,2,0,0,0,12
Omri Casspi,SF,28,MIN,13,0,222,7.3,0.205,5.3,6.8,10.5,0,0.2,0.1,0.027,0,39,0.487,0.2,0.513,20,11,13,2,45
Willie Cauley-Stein,C,23,SAC,75,21,1421,16.4,0.314,13.8,9.4,19.6,1.4,1.5,3,0.1,0.3,481,0.53,0,0.53,340,80,53,45,611
Tyson Chandler,C,34,PHO,47,46,1298,16.6,0.544,22.6,3.3,11.3,2.7,1.3,4,0.149,0.5,228,0.671,,0.671,539,30,33,24,397
Wilson Chandler,SF,29,DEN,71,33,2197,14.9,0.207,11.5,9.8,22,2.4,1.1,3.6,0.078,0.7,939,0.461,0.337,0.52,459,141,52,30,1117
Marquese Chriss,PF,19,PHO,82,75,1743,12.3,0.286,10.8,5.2,19.7,0.3,1.5,1.8,0.05,0.2,632,0.449,0.321,0.506,348,60,67,70,753
Rakeem Christmas,PF,25,IND,29,0,219,10.4,0.674,14.4,2.5,13.1,0.3,0.2,0.5,0.099,-0.1,43,0.442,,0.442,56,4,3,6,59
Semaj Christon,PG,24,OKC,64,1,973,5.7,0.139,5,18.1,12.2,-0.7,0.8,0.1,0.006,-1.1,223,0.345,0.19,0.372,88,130,28,6,183
Ian Clark,SG,25,GSW,77,0,1137,13.1,0.134,5.9,11.2,19.5,1,1.3,2.3,0.099,0,433,0.487,0.374,0.558,122,90,39,8,527
Jordan Clarkson,SG,24,LAL,82,19,2397,13.1,0.157,5.6,14.4,23.3,0.5,0.7,1.2,0.024,-0.4,1071,0.445,0.329,0.5,246,213,88,8,1205
Norris Cole,PG,28,OKC,13,0,125,5.4,0.192,4.9,16.3,21.5,-0.2,0.2,-0.1,-0.033,-0.2,52,0.308,0.231,0.337,11,14,8,0,43
Darren Collison,PG,29,SAC,68,64,2063,15.3,0.239,4.3,24.5,19.8,3.1,0.8,3.9,0.091,0.3,714,0.476,0.417,0.527,153,312,67,9,900
Nick Collison,PF,36,OKC,20,0,128,12.8,0.348,13,13.2,10.1,0.3,0.1,0.4,0.144,0,23,0.609,0,0.609,30,12,2,2,33
Mike Conley,PG,29,MEM,69,68,2292,23.2,0.365,6,34.5,26.3,7.5,2.5,10,0.209,4.5,1009,0.46,0.408,0.545,242,433,92,19,1415
Pat Connaughton,SG,24,POR,39,1,316,11.8,0.125,9.1,12.7,13,0.4,0.2,0.6,0.09,0,72,0.514,0.515,0.632,52,28,6,2,98
Quinn Cook,PG,23,TOT,14,0,188,11.8,0.076,2,22.8,19.6,0.1,0.1,0.2,0.047,-0.2,66,0.5,0.423,0.583,7,26,4,0,79
Quinn Cook,PG,23,DAL,5,0,77,6.9,0.08,2.3,25.7,20.7,-0.1,0,-0.1,-0.046,-0.1,25,0.44,0.357,0.54,3,12,1,0,27
Quinn Cook,PG,23,NOP,9,0,111,15.3,0.073,1.9,20.7,18.9,0.2,0.1,0.3,0.11,-0.1,41,0.537,0.5,0.61,4,14,3,0,52
DeMarcus Cousins,C,26,TOT,72,72,2465,25.7,0.468,18.2,25.8,36.5,3.8,3.8,7.6,0.149,5.3,1433,0.452,0.36,0.497,797,332,100,92,1942
DeMarcus Cousins,C,26,SAC,55,55,1891,26.5,0.491,17.9,27.4,37.5,3.3,2.7,6,0.152,4.3,1119,0.451,0.354,0.494,585,266,75,73,1528
DeMarcus Cousins,C,26,NOP,17,17,574,23.3,0.385,19.5,20.6,33.1,0.5,1.1,1.6,0.137,1,314,0.452,0.375,0.51,212,66,25,19,414
Robert Covington,SF,26,PHI,67,67,2119,13.2,0.238,11.3,7.5,19.2,0,3.2,3.1,0.071,1.8,732,0.399,0.333,0.492,436,102,127,69,864
Allen Crabbe,SG,24,POR,79,7,2254,11.6,0.192,5.5,6.1,14.9,3.1,1,4.1,0.088,0.5,647,0.468,0.444,0.572,225,93,54,20,845
Jamal Crawford,SG,36,LAC,82,1,2157,12,0.234,3.3,15.1,22.7,0.5,1.4,1.9,0.042,-0.6,869,0.413,0.36,0.48,129,213,59,14,1008
