Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
A.J. Hammons,C,24,DAL,22,0,163,8.4,0.476,12.8,3.8,17.6,-0.2,0.2,0,-0.1,42,0.405,0.5,0.464,36,4,1,13,48
Aaron Brooks,PG,32,IND,65,0,894,9.5,0.133,4.3,20.7,19.2,-0.2,0.5,0.3,-0.6,300,0.403,0.375,0.483,69,125,25,9,322
Aaron Gordon,SF,21,ORL,80,72,2298,14.4,0.251,9.6,10.5,20.1,2,1.7,3.7,0.8,865,0.454,0.288,0.499,405,150,64,40,1019
Aaron Harrison,SG,22,CHO,5,0,17,-2.2,0.5,9.7,22.6,12.9,-0.1,0,-0.1,0,4,0,0,0,3,3,0,0,1
Adreian Payne,PF,25,MIN,18,0,135,14.4,0.352,14.3,8,23.1,0,0.2,0.2,0,54,0.426,0.2,0.454,33,7,8,7,63
Al Horford,C,30,BOS,68,68,2193,17.7,0.169,11.8,24.4,19.8,3.6,2.7,6.3,2.8,801,0.473,0.355,0.527,464,337,52,87,952
Al Jefferson,C,32,IND,66,1,931,18.9,0.18,16.8,11,26.1,1.2,1.1,2.3,-0.3,471,0.499,0,0.499,278,57,19,16,535
Al-Farouq Aminu,SF,26,POR,61,25,1773,11.3,0.292,14.1,7.9,15.4,-0.1,2,1.9,0.4,466,0.393,0.33,0.468,451,99,60,44,532
Alan Anderson,SF,34,LAC,30,0,308,5,0.2,4.4,4.9,13.7,0,0.1,0.1,-0.2,80,0.375,0.318,0.463,24,11,3,0,86
Alan Williams,C,24,PHO,47,0,708,19.5,0.419,22.4,5.2,20.9,1.1,0.9,2.1,0.1,267,0.517,0,0.517,292,23,27,32,346
Alec Burks,SG,25,UTA,42,0,653,11.6,0.315,10.6,7.5,22.7,-0.1,0.9,0.8,-0.4,248,0.399,0.329,0.45,120,30,18,5,283
Alex Abrines,SG,23,OKC,68,6,1055,10.1,0.144,4.5,5.5,15.9,1.2,0.9,2.1,-0.1,341,0.393,0.381,0.531,86,40,37,8,406
Alex Len,C,23,PHO,77,34,1560,15,0.449,17.8,4.2,17.6,1.2,1.7,3,0.1,463,0.497,0.25,0.5,510,44,37,98,613
Alex Poythress,PF,23,PHI,6,1,157,13.2,0.185,10.2,5.1,16.9,0.2,0.1,0.3,0,54,0.463,0.316,0.519,29,5,3,2,64
Alexis Ajinca,C,28,NOP,39,15,584,12.9,0.225,16,3.1,17.2,0,0.9,1,-0.3,178,0.5,0,0.5,177,12,20,22,207
Allen Crabbe,SG,24,POR,79,7,2254,11.6,0.192,5.5,6.1,14.9,3.1,1,4.1,0.5,647,0.468,0.444,0.572,225,93,54,20,845
Alonzo Gee,SF,29,DEN,13,0,89,3.1,0.643,9.3,8.2,10.5,-0.1,0.1,-0.1,-0.1,14,0.214,0,0.214,15,6,5,1,11
Amir Johnson,PF,29,BOS,80,77,1608,15,0.27,12.6,13,13.6,2.9,2.1,5,1.7,370,0.576,0.409,0.612,365,140,52,62,520
Anderson Varejao,C,34,GSW,14,1,92,9.4,0.786,16.1,13,12.6,0,0.1,0.2,0,14,0.357,0,0.357,27,10,3,3,18
Andre Drummond,C,23,DET,81,81,2409,20.9,0.39,25.3,5.9,22.4,1.4,5.3,6.7,1.7,911,0.53,0.286,0.531,1116,89,124,89,1105
Andre Iguodala,SF,33,GSW,76,0,1998,14.4,0.246,8.3,16.7,11.2,4.1,2.9,6.9,2.5,415,0.528,0.362,0.605,304,262,76,39,574
Andre Roberson,SF,25,OKC,79,79,2376,9.6,0.24,9.4,4.6,10.1,1.1,3.1,4.2,1.2,463,0.464,0.245,0.513,402,79,94,79,522
Andrew Bogut,C,32,TOT,27,21,583,9.3,0.136,21.7,12.3,10.4,-0.3,1,0.7,0.3,81,0.469,0,0.469,218,49,13,25,79
Andrew Harrison,PG,22,MEM,72,18,1474,8.7,0.539,5.3,20,16.4,0,1.5,1.6,-0.2,360,0.325,0.276,0.385,136,198,54,20,425
Andrew Nicholson,PF,27,TOT,38,0,342,5.9,0.126,9.8,4.1,17,-0.5,0.4,-0.1,-0.4,111,0.387,0.185,0.41,61,10,16,6,100
Andrew Wiggins,SF,21,MIN,82,82,3048,16.5,0.345,6.3,10.6,29,3.3,0.9,4.2,-0.6,1570,0.452,0.356,0.484,329,189,82,30,1933
Anthony Bennett,PF,23,BRK,23,1,264,14.7,0.391,15.6,7.1,19.4,0.3,0.2,0.5,-0.1,92,0.413,0.271,0.484,78,12,5,3,115
Anthony Brown,SF,24,TOT,11,0,159,7.2,0,11,7.6,15.6,-0.2,0.2,0,-0.1,50,0.36,0.259,0.43,33,8,5,1,43
Anthony Davis,C,23,NOP,75,75,2708,27.5,0.424,17.3,11.1,32.6,5.9,5.1,11,3.9,1527,0.504,0.299,0.517,886,157,94,167,2099
Anthony Morrow,SG,31,TOT,49,7,714,10,0.147,2.4,5.2,16.4,0.7,0.5,1.2,-0.4,252,0.389,0.308,0.47,31,25,24,2,271
Anthony Tolliver,PF,31,SAC,65,9,1477,11.1,0.234,9.3,7.7,13.6,1.5,0.8,2.3,0.5,351,0.442,0.391,0.57,239,77,33,20,461
Archie Goodwin,SG,22,TOT,15,0,214,18.7,0.636,6.9,18.5,19.8,0.6,0.1,0.7,0,66,0.545,0.333,0.583,28,24,4,5,110
Arinze Onuaku,C,29,ORL,8,0,28,5.8,0,11.7,9.9,9.4,0,0,0,0,4,0.5,0,0.5,6,2,0,1,4
Aron Baynes,C,30,DET,75,2,1163,13.1,0.337,15.6,3.9,14.1,1.4,1.5,3,0.1,279,0.513,0,0.513,333,32,17,39,365
Arron Afflalo,SG,31,SAC,61,45,1580,9,0.221,4.6,7.4,14.4,1.2,0.2,1.4,-0.6,420,0.44,0.411,0.514,125,78,21,7,515
Austin Rivers,SG,24,LAC,74,29,2054,11.4,0.261,4.4,15,20.3,1.2,1.3,2.5,0.2,731,0.442,0.371,0.518,161,204,48,10,889
Avery Bradley,SG,26,BOS,55,55,1835,14.4,0.12,10.1,10.9,21.9,1.1,2,3.1,0.7,775,0.463,0.39,0.533,334,121,68,11,894
Axel Toupane,SF,24,TOT,4,0,47,6.2,0,1.1,0,8.5,0,0,0.1,0,9,0.556,0.25,0.611,1,0,1,1,11
Ben Bentil,PF,21,DAL,3,0,10,-17.6,0,11.6,0,18.9,-0.1,0,-0.1,-0.1,3,0,0,0,2,0,0,0,0
Ben McLemore,SG,23,SAC,61,26,1176,9.8,0.222,6.4,6.9,20.1,-0.1,0.5,0.4,-0.8,419,0.43,0.382,0.507,130,51,29,6,495
Beno Udrih,PG,34,DET,39,0,560,16.1,0.173,5.6,35.4,19.7,0.8,0.5,1.3,-0.1,197,0.467,0.344,0.495,57,131,13,0,227
Bismack Biyombo,C,24,ORL,81,27,1793,12.2,0.69,17.2,6,13.2,0.8,2.1,2.9,-0.1,339,0.528,0,0.528,567,74,25,91,483
Blake Griffin,PF,27,LAC,61,61,2076,22.7,0.434,13.4,24.5,28,5.4,2.4,7.7,3.4,971,0.493,0.336,0.513,496,300,58,23,1316
Boban Marjanovic,C,28,DET,35,0,293,29.6,0.439,24.2,5.3,25.3,1.2,0.5,1.7,0.2,132,0.545,0,0.545,130,9,6,12,191
Bobby Brown,PG,32,HOU,25,0,123,10.8,0.033,2.7,17.6,22.7,0.1,0,0.1,-0.2,60,0.383,0.4,0.5,6,14,1,0,62
Bobby Portis,PF,21,CHI,64,13,1000,14.9,0.157,16,5.7,19.1,1.1,1.2,2.4,-0.3,375,0.488,0.333,0.531,296,35,16,11,437
Bojan Bogdanovic,SF,27,TOT,81,54,2083,13.5,0.288,7.2,8.7,22.4,2,0.9,2.9,-0.4,845,0.445,0.367,0.53,277,111,34,7,1113
Boris Diaw,PF,34,UTA,73,33,1283,9,0.107,7.1,20.3,15.6,-0.1,1.2,1.1,-0.3,327,0.446,0.247,0.477,158,170,18,9,338
Bradley Beal,SG,23,WAS,77,77,2684,20.1,0.259,5,16.2,26.5,6.8,1.6,8.5,2.8,1322,0.482,0.404,0.566,239,267,83,21,1779
